11:29:55.038 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shanyuan.platform.ms.facade.statistics.StatisticsOrderTest], using SpringBootContextLoader
11:34:41.669 [main] INFO  com.yunpian.sdk.YunpianConf - apikey-b792c1883cd87e140859625a665e7069 conf-{yp.flow.host=https://flow.yunpian.com, yp.sign.host=https://sms.yunpian.com, yp.tpl.host=https://sms.yunpian.com, http.conn.maxperroute=50, yp.user.host=https://sms.yunpian.com, yp.version=v2, yp.call.host=https://call.yunpian.com, yp.short_url.host=https://sms.yunpian.com, http.charset=utf-8, http.conn.timeout=10000, yp.voice.host=https://voice.yunpian.com, http.so.timeout=30000, yp.sms.host=https://sms.yunpian.com, http.conn.maxtotal=200}
11:34:41.891 [main] INFO  com.yunpian.sdk.YunpianClient - YunpianClient is initing!
11:34:41.891 [main] INFO  com.yunpian.sdk.YunpianClient - YunpianClient is closing!
11:34:41.893 [main] INFO  com.yunpian.sdk.YunpianConf - apikey-b792c1883cd87e140859625a665e7069 conf-{yp.flow.host=https://flow.yunpian.com, yp.sign.host=https://sms.yunpian.com, yp.tpl.host=https://sms.yunpian.com, http.conn.maxperroute=50, yp.user.host=https://sms.yunpian.com, yp.version=v2, yp.call.host=https://call.yunpian.com, yp.short_url.host=https://sms.yunpian.com, http.charset=utf-8, http.conn.timeout=10000, yp.voice.host=https://voice.yunpian.com, http.so.timeout=30000, yp.sms.host=https://sms.yunpian.com, http.conn.maxtotal=200}
11:34:43.816 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@27305e6: startup date [Thu Dec 28 11:34:37 CST 2017]; root of context hierarchy
11:34:43.926 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
11:34:43.928 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
11:34:44.005 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:34:44.006 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:34:44.076 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:34:44.972 [main] INFO  c.s.p.m.f.s.StatisticsOrderTest - Started StatisticsOrderTest in 7.798 seconds (JVM running for 8.492)
11:34:54.441 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:34:55.035 [main] DEBUG c.s.p.m.d.u.m.S.selectByExample - ==>  Preparing: select circle_id, circle_name, parent_circle_name, org_name, circle_desc, circle_masterid, circle_mastername, circle_img, class_id, circle_mcount, circle_thcount, circle_gcount, circle_pursuereason, circle_notice, circle_status, circle_statusinfo, circle_joinaudit, circle_addtime, circle_noticetime, is_recommend, is_hot, circle_tag, new_verifycount, new_informcount, mapply_open, mapply_ml, new_mapplycount, circle_type, parent_circle_id, code, resp_id, resp_name, resp_mobile, boc_sort, dept_level, org_circle_id, channel, has_child_flag, staffs_amount from sy_circle 
11:34:56.496 [main] DEBUG c.s.p.m.d.u.m.S.selectByExample - ==> Parameters: 
11:38:48.449 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shanyuan.platform.ms.facade.statistics.StatisticsOrderTest], using SpringBootContextLoader
11:38:48.458 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.shanyuan.platform.ms.facade.statistics.StatisticsOrderTest]: no resource found for suffixes {-context.xml, Context.groovy}.
11:38:48.531 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
11:38:48.551 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@461ad730, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4ee203eb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5a4e19, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7068e664, org.springframework.test.context.transaction.TransactionalTestExecutionListener@60db1c0e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3e78b6a5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@769a1df5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@41f69e84, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7975d1d8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2438dcd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24105dc5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5167f57d]
11:38:48.877 [main] INFO  c.s.p.m.f.s.StatisticsOrderTest - Starting StatisticsOrderTest on DESKTOP-FJN2G7E with PID 6708 (started by win10 in D:\order\sy_platform\platform.ms.facade)
11:38:48.877 [main] DEBUG c.s.p.m.f.s.StatisticsOrderTest - Running with Spring Boot v1.5.4.RELEASE, Spring v4.3.9.RELEASE
11:38:48.877 [main] INFO  c.s.p.m.f.s.StatisticsOrderTest - No active profile set, falling back to default profiles: default
11:38:48.910 [main] INFO  o.s.w.c.s.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@27305e6: startup date [Thu Dec 28 11:38:48 CST 2017]; root of context hierarchy
11:38:49.998 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
11:38:53.267 [main] INFO  com.yunpian.sdk.YunpianClient - YunpianClient is initing!
11:38:53.268 [main] INFO  com.yunpian.sdk.YunpianConf - load default yunpian.properties
11:38:53.268 [main] INFO  com.yunpian.sdk.YunpianConf - apikey-b792c1883cd87e140859625a665e7069 conf-{yp.flow.host=https://flow.yunpian.com, yp.sign.host=https://sms.yunpian.com, yp.tpl.host=https://sms.yunpian.com, http.conn.maxperroute=50, yp.user.host=https://sms.yunpian.com, yp.version=v2, yp.call.host=https://call.yunpian.com, yp.short_url.host=https://sms.yunpian.com, http.charset=utf-8, http.conn.timeout=10000, yp.voice.host=https://voice.yunpian.com, http.so.timeout=30000, yp.sms.host=https://sms.yunpian.com, http.conn.maxtotal=200}
11:38:53.494 [main] INFO  com.yunpian.sdk.YunpianClient - YunpianClient is initing!
11:38:53.494 [main] INFO  com.yunpian.sdk.YunpianClient - YunpianClient is closing!
11:38:53.496 [main] INFO  com.yunpian.sdk.YunpianConf - apikey-b792c1883cd87e140859625a665e7069 conf-{yp.flow.host=https://flow.yunpian.com, yp.sign.host=https://sms.yunpian.com, yp.tpl.host=https://sms.yunpian.com, http.conn.maxperroute=50, yp.user.host=https://sms.yunpian.com, yp.version=v2, yp.call.host=https://call.yunpian.com, yp.short_url.host=https://sms.yunpian.com, http.charset=utf-8, http.conn.timeout=10000, yp.voice.host=https://voice.yunpian.com, http.so.timeout=30000, yp.sms.host=https://sms.yunpian.com, http.conn.maxtotal=200}
11:38:55.562 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@27305e6: startup date [Thu Dec 28 11:38:48 CST 2017]; root of context hierarchy
11:38:55.673 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
11:38:55.674 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
11:38:55.759 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:38:55.760 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:38:55.837 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
11:38:56.754 [main] INFO  c.s.p.m.f.s.StatisticsOrderTest - Started StatisticsOrderTest in 8.083 seconds (JVM running for 8.803)
11:39:08.322 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
11:39:09.105 [main] DEBUG c.s.p.m.d.u.m.S.selectByExample - ==>  Preparing: select circle_id, circle_name, parent_circle_name, org_name, circle_desc, circle_masterid, circle_mastername, circle_img, class_id, circle_mcount, circle_thcount, circle_gcount, circle_pursuereason, circle_notice, circle_status, circle_statusinfo, circle_joinaudit, circle_addtime, circle_noticetime, is_recommend, is_hot, circle_tag, new_verifycount, new_informcount, mapply_open, mapply_ml, new_mapplycount, circle_type, parent_circle_id, code, resp_id, resp_name, resp_mobile, boc_sort, dept_level, org_circle_id, channel, has_child_flag, staffs_amount from sy_circle 
11:39:10.936 [main] DEBUG c.s.p.m.d.u.m.S.selectByExample - ==> Parameters: 
11:41:11.701 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shanyuan.platform.ms.facade.statistics.StatisticsOrderTest], using SpringBootContextLoader
11:41:11.708 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.shanyuan.platform.ms.facade.statistics.StatisticsOrderTest]: no resource found for suffixes {-context.xml, Context.groovy}.
